pile,hyp,comp,model,cype,diff
P13,Qa,Mx,1.03,0.2,0.83
P13,Qa,My,-11.07,-11.4,0.33
P13,Qa,Qx,0.44,0.1,0.34
P13,Qa,Qy,-4.6,-4.7,0.1
P13,Qa,T,0.0,0.0,0.0
P13,TB1,N,152.98,151.6,1.38
P13,TB1,Mx,1.17,0.6,0.57
P13,TB1,My,-165.1,-162.9,-2.2
P13,TB1,Qx,0.34,0.1,0.24
P13,TB1,Qy,-47.88,-47.2,-0.68
P13,TB1,T,0.59,0.1,0.49
P13,TB2,N,58.05,58.1,-0.05
P13,TB2,Mx,-0.0,0.0,-0.0
P13,TB2,My,1.29,1.3,-0.01
P13,TB2,Qx,-0.0,0.0,-0.0
P13,TB2,Qy,0.6,0.6,0.0
P13,TB2,T,-0.0,0.0,-0.0
P13,TB3,N,-58.05,-58.1,0.05
P13,TB3,Mx,0.0,-0.0,0.0
P13,TB3,My,-1.29,-1.3,0.01
P13,TB3,Qx,0.0,-0.0,0.0
P13,TB3,Qy,-0.6,-0.6,-0.0
P13,TB3,T,0.0,0.0,0.0
P14,PP,N,98.79,98.7,0.09
P14,PP,Mx,0.27,0.1,0.17
P14,PP,My,3.48,3.4,0.08
P14,PP,Qx,0.12,0.0,0.12
P14,PP,Qy,1.47,1.5,-0.03
P14,PP,T,-0.0,0.0,-0.0
P14,CM,N,22.89,22.7,0.19
P14,CM,Mx,0.12,0.0,0.12
P14,CM,My,1.28,1.3,-0.02
P14,CM,Qx,0.05,0.0,0.05
P14,CM,Qy,0.54,0.6,-0.06
P14,CM,T,-0.0,0.0,-0.0
P14,Qa,N,196.2,194.4,1.8
P14,Qa,Mx,1.0,0.3,0.7
P14,Qa,My,10.96,11.3,-0.34
P14,Qa,Qx,0.43,0.1,0.33
P14,Qa,Qy,4.61,4.8,-0.19
P14,Qa,T,-0.0,0.0,-0.0
P14,TB1,N,-152.31,-150.9,-1.41
P14,TB1,Mx,-1.21,-0.5,-0.71
P14,TB1,My,-169.24,-167.2,-2.04
P14,TB1,Qx,-0.35,-0.1,-0.25
P14,TB1,Qy,-49.62,-48.9,-0.72
P14,TB1,T,0.59,0.1,0.49
P14,TB2,N,-5.12,-5.1,-0.02
P14,TB2,Mx,0.0,0.0,0.0
P14,TB2,My,-0.96,-1.0,0.04
P14,TB2,Qx,0.0,0.0,0.0
P14,TB2,Qy,-0.34,-0.3,-0.04
P14,TB2,T,-0.0,0.0,-0.0
P14,TB3,N,5.12,5.1,0.02
P14,TB3,Mx,-0.0,-0.0,-0.0
P14,TB3,My,0.96,1.0,-0.04
P14,TB3,Qx,-0.0,-0.0,-0.0
