pile,hyp,comp,model,cype,diff
P7,TB3,Mx,0.0,0.0,0.0
P7,TB3,My,-0.4,-0.5,0.1
P7,TB3,Qx,-0.0,0.0,-0.0
P7,TB3,Qy,0.13,0.1,0.03
P7,TB3,T,-0.0,0.0,-0.0
P8,PP,N,76.2,74.2,2.0
P8,PP,Mx,0.0,0.0,0.0
P8,PP,My,-6.56,-6.6,0.04
P8,PP,Qx,-0.0,0.0,-0.0
P8,PP,Qy,1.51,1.5,0.01
P8,PP,T,-0.0,0.0,-0.0
P8,CM,N,23.59,23.4,0.19
P8,CM,Mx,0.0,0.0,0.0
P8,CM,My,-2.41,-2.5,0.09
P8,CM,Qx,-0.0,0.0,-0.0
P8,CM,Qy,0.56,0.6,-0.04
P8,CM,T,-0.0,0.0,-0.0
P8,Qa,N,202.22,200.6,1.62
P8,Qa,Mx,0.0,0.0,0.0
P8,Qa,My,-20.62,-21.5,0.88
P8,Qa,Qx,-0.0,0.0,-0.0
P8,Qa,Qy,4.77,5.0,-0.23
P8,Qa,T,-0.0,0.0,-0.0
P8,TB1,N,-144.49,-143.6,-0.89
P8,TB1,Mx,0.64,0.4,0.24
P8,TB1,My,162.63,161.4,1.23
P8,TB1,Qx,-0.2,-0.1,-0.1
P8,TB1,Qy,-49.61,-49.3,-0.31
P8,TB1,T,0.38,0.1,0.28
P8,TB2,N,-0.51,-0.5,-0.01
P8,TB2,Mx,-0.0,0.0,-0.0
P8,TB2,My,0.51,0.5,0.01
P8,TB2,Qx,0.0,0.0,0.0
P8,TB2,Qy,-0.15,-0.2,0.05
P8,TB2,T,0.0,0.0,0.0
P8,TB3,N,0.51,0.5,0.01
P8,TB3,Mx,0.0,0.0,0.0
P8,TB3,My,-0.51,-0.5,-0.01
P8,TB3,Qx,-0.0,0.0,-0.0
P8,TB3,Qy,0.15,0.2,-0.05
P8,TB3,T,-0.0,0.0,-0.0
P13,PP,N,81.12,79.3,1.82
P13,PP,Mx,-0.55,-0.2,-0.35
P13,PP,My,6.34,6.3,0.04
P13,PP,Qx,0.13,0.0,0.13
P13,PP,Qy,-1.48,-1.5,0.02
P13,PP,T,0.0,0.0,0.0
P13,CM,N,24.95,24.9,0.05
P13,CM,Mx,-0.23,-0.1,-0.13
P13,CM,My,2.33,2.4,-0.07
P13,CM,Qx,0.05,0.0,0.05
P13,CM,Qy,-0.54,-0.6,0.06
P13,CM,T,0.0,0.0,0.0
P13,Qa,N,213.83,213.7,0.13
P13,Qa,Mx,-1.99,-0.4,-1.59
P13,Qa,My,19.93,20.4,-0.47
P13,Qa,Qx,0.46,0.1,0.36
P13,Qa,Qy,-4.64,-4.7,0.06
P13,Qa,T,0.0,0.0,0.0
P13,TB1,N,152.04,151.6,0.44
P13,TB1,Mx,-0.87,-0.2,-0.67
P13,TB1,My,154.21,153.0,1.21
P13,TB1,Qx,0.27,0.1,0.17
P13,TB1,Qy,-47.43,-47.2,-0.23
P13,TB1,T,0.46,0.1,0.36
P13,TB2,N,58.07,58.1,-0.03
P13,TB2,Mx,-0.0,-0.0,-0.0
P13,TB2,My,-2.72,-2.7,-0.02
P13,TB2,Qx,0.0,0.0,0.0
P13,TB2,Qy,0.6,0.6,-0.0
P13,TB2,T,-0.0,0.0,-0.0
P13,TB3,N,-58.07,-58.1,0.03
P13,TB3,Mx,0.0,0.0,0.0
P13,TB3,My,2.72,2.7,0.02
P13,TB3,Qx,-0.0,-0.0,-0.0
P13,TB3,Qy,-0.6,-0.6,0.0
P13,TB3,T,0.0,0.0,0.0
P14,PP,N,74.54,72.4,2.14
P14,PP,Mx,-0.53,-0.2,-0.33
P14,PP,My,-6.42,-6.4,-0.02
P14,PP,Qx,0.12,0.0,0.12
P14,PP,Qy,1.48,1.5,-0.02
P14,PP,T,0.0,0.0,0.0
P14,CM,N,22.89,22.7,0.19
P14,CM,Mx,-0.23,-0.1,-0.13
P14,CM,My,-2.35,-2.4,0.05
P14,CM,Qx,0.05,0.0,0.05
P14,CM,Qy,0.54,0.6,-0.06
P14,CM,T,0.0,0.0,0.0
P14,Qa,N,196.18,194.4,1.78
P14,Qa,Mx,-1.93,-0.5,-1.43
P14,Qa,My,-20.12,-20.7,0.58
P14,Qa,Qx,0.45,0.1,0.35
P14,Qa,Qy,4.65,4.8,-0.15
P14,Qa,T,0.0,0.0,0.0
P14,TB1,N,-151.35,-150.9,-0.45
P14,TB1,Mx,0.82,0.3,0.52
P14,TB1,My,161.77,160.7,1.07
P14,TB1,Qx,-0.26,-0.1,-0.16
P14,TB1,Qy,-49.18,-48.9,-0.28
P14,TB1,T,0.43,0.1,0.33
P14,TB2,N,-5.13,-5.1,-0.03
P14,TB2,Mx,-0.0,-0.0,-0.0
P14,TB2,My,1.34,1.3,0.04
P14,TB2,Qx,0.0,0.0,0.0
P14,TB2,Qy,-0.34,-0.3,-0.04
P14,TB2,T,-0.0,0.0,-0.0
P14,TB3,N,5.13,5.1,0.03
P14,TB3,Mx,0.0,0.0,0.0
P14,TB3,My,-1.34,-1.3,-0.04
P14,TB3,Qx,-0.0,-0.0,-0.0
P14,TB3,Qy,0.34,0.3,0.04
P14,TB3,T,0.0,0.0,0.0
P15,PP,N,88.76,86.0,2.76
P15,PP,Mx,2.87,0.9,1.97
P15,PP,My,6.97,7.0,-0.03
P15,PP,Qx,-0.67,-0.2,-0.47
P15,PP,Qy,-1.63,-1.6,-0.03
P15,PP,T,0.0,0.0,0.0
P15,CM,N,28.19,27.5,0.69
P15,CM,Mx,1.21,0.3,0.91
P15,CM,My,2.6,2.7,-0.1
P15,CM,Qx,-0.28,-0.1,-0.18
P15,CM,Qy,-0.61,-0.6,-0.01
P15,CM,T,-0.0,0.0,-0.0
P15,Qa,N,241.65,235.7,5.95
P15,Qa,Mx,10.41,2.3,8.11
P15,Qa,My,22.3,23.4,-1.1
P15,Qa,Qx,-2.42,-0.5,-1.92
P15,Qa,Qy,-5.19,-5.4,0.21
P15,Qa,T,-0.0,0.0,-0.0
P15,TB1,N,139.18,138.3,0.88
P15,TB1,Mx,-0.92,-0.6,-0.32
P15,TB1,My,155.54,155.4,0.14
P15,TB1,Qx,0.29,0.2,0.09
P15,TB1,Qy,-47.47,-47.5,0.03
P15,TB1,T,0.51,0.1,0.41
P15,TB2,N,0.54,0.6,-0.06
P15,TB2,Mx,-0.0,0.1,-0.1
P15,TB2,My,0.42,0.5,-0.08
P15,TB2,Qx,0.0,-0.0,0.0
P15,TB2,Qy,-0.13,-0.1,-0.03
P15,TB2,T,-0.0,0.0,-0.0
P15,TB3,N,-0.54,-0.6,0.06
P15,TB3,Mx,0.0,-0.1,0.1
P15,TB3,My,-0.42,-0.5,0.08
P15,TB3,Qx,-0.0,0.0,-0.0
P15,TB3,Qy,0.13,0.1,0.03
P15,TB3,T,0.0,0.0,0.0
P16,PP,N,53.15,49.0,4.15
P16,PP,Mx,-8.57,-6.3,-2.27
P16,PP,My,3.3,3.4,-0.1
P16,PP,Qx,1.99,1.5,0.49
P16,PP,Qy,-0.77,-0.8,0.03
P16,PP,T,0.01,0.0,0.01
P16,CM,N,12.5,12.6,-0.1
P16,CM,Mx,-2.66,-2.0,-0.66
P16,CM,My,0.9,0.9,0.0
P16,CM,Qx,0.62,0.5,0.12
P16,CM,Qy,-0.21,-0.2,-0.01
P16,CM,T,0.0,0.0,0.0
P16,Qa,N,107.17,107.6,-0.43
P16,Qa,Mx,-22.84,-17.1,-5.74
P16,Qa,My,7.76,8.1,-0.34
P16,Qa,Qx,5.3,4.0,1.3
P16,Qa,Qy,-1.81,-1.9,0.09
P16,Qa,T,0.02,0.0,0.02
P16,TB1,N,115.52,116.5,-0.98
P16,TB1,Mx,-0.96,7.3,-8.26
P16,TB1,My,151.38,152.0,-0.62
P16,TB1,Qx,0.3,-1.6,1.9
P16,TB1,Qy,-46.21,-46.5,0.29
P16,TB1,T,0.53,0.1,0.43
P16,TB2,N,58.33,58.1,0.23
P16,TB2,Mx,0.1,1.3,-1.2
P16,TB2,My,-2.1,-2.1,-0.0
P16,TB2,Qx,-0.02,-0.3,0.28
P16,TB2,Qy,0.45,0.5,-0.05
P16,TB2,T,-0.0,0.0,-0.0
P16,TB3,N,-58.33,-58.1,-0.23
P16,TB3,Mx,-0.1,-1.3,1.2
P16,TB3,My,2.1,2.1,0.0
P16,TB3,Qx,0.02,0.3,-0.28
P16,TB3,Qy,-0.45,-0.5,0.05
P16,TB3,T,0.0,0.0,0.0
P17,PP,N,81.48,78.9,2.58
P17,PP,Mx,2.78,1.1,1.68
P17,PP,My,-7.09,-7.2,0.11
