family,pile,where,what,model,model_comb,cype,cype_comb,diff_%
ELS,P14,cabeza,N min,-53.0,3,-55.8,3,-5.0
ELS,P14,cabeza,|My| max,152.0,3,151.9,3,0.0
ELS,P14,cabeza,|Mx| max,-2.4,6,-0.8,2,
ELS,P15,base,N max,518.8,4,513.8,4,1.0
ELS,P15,base,N min,139.9,7,139.2,7,0.5
ELS,P15,base,|My| max,-180.1,4,-181.2,4,-0.6
ELS,P15,base,|Mx| max,-6.9,6,-1.9,6,265.0
ELS,P15,cabeza,N max,494.5,4,487.5,4,1.4
ELS,P15,cabeza,N min,115.6,7,112.9,7,2.4
ELS,P15,cabeza,|My| max,186.3,4,188.5,4,-1.2
ELS,P15,cabeza,|Mx| max,12.6,6,3.6,6,249.4
ELS,P16,base,N max,315.9,4,311.9,4,1.3
ELS,P16,base,N min,32.3,7,29.7,7,8.8
ELS,P16,base,|My| max,-166.2,4,-166.5,4,-0.2
ELS,P16,base,|Mx| max,25.1,4,14.7,8,70.8
ELS,P16,cabeza,N max,291.6,4,285.7,4,2.1
ELS,P16,cabeza,N min,8.0,7,3.5,7,129.0
ELS,P16,cabeza,|My| max,163.7,4,164.4,4,-0.4
ELS,P16,cabeza,|Mx| max,-44.9,4,-26.7,8,68.1
ELS,P17,base,N max,350.7,8,347.4,8,0.9
ELS,P17,base,N min,-8.7,3,-8.0,3,9.2
ELS,P17,base,|My| max,-157.8,3,-157.5,3,0.2
ELS,P17,base,|Mx| max,-7.5,4,-3.6,4,109.2
ELS,P17,cabeza,N max,326.4,8,321.1,8,1.6
ELS,P17,cabeza,N min,-33.0,3,-34.3,3,-3.7
ELS,P17,cabeza,|My| max,146.1,3,145.5,3,0.4
ELS,P17,cabeza,|Mx| max,13.0,4,5.9,4,119.9
ELS,P18,base,N max,190.7,8,184.3,8,3.5
ELS,P18,base,N min,-47.7,3,-51.4,3,-7.2
ELS,P18,base,|My| max,-160.9,3,-160.5,3,0.3
ELS,P18,base,|Mx| max,24.3,8,19.7,4,23.3
ELS,P18,cabeza,N max,166.4,8,158.0,8,5.3
ELS,P18,cabeza,N min,-72.0,3,-77.7,3,-7.3
ELS,P18,cabeza,|My| max,154.3,3,153.8,3,0.3
ELS,P18,cabeza,|Mx| max,-44.1,8,-36.2,4,21.8
