family,pile,where,what,model,model_comb,cype,cype_comb,diff_%
ELS,P13,base,N max,496.2,4,495.8,4,0.1
ELS,P13,base,N min,72.3,7,72.4,7,-0.1
ELS,P13,base,|My| max,-179.6,4,-179.1,4,0.3
ELS,P13,base,|Mx| max,2.5,4,0.9,4,
ELS,P13,cabeza,N max,471.9,4,469.5,4,0.5
ELS,P13,cabeza,N min,48.0,7,46.1,7,4.1
ELS,P13,cabeza,|My| max,182.8,4,182.1,4,0.4
ELS,P13,cabeza,|Mx| max,-3.6,4,-0.9,4,
ELS,P14,base,N max,323.0,8,320.9,8,0.7
ELS,P14,base,N min,-29.6,3,-29.5,3,0.4
ELS,P14,base,|My| max,-162.9,3,-162.5,3,0.3
ELS,P14,base,|Mx| max,1.5,6,0.4,2,
ELS,P14,cabeza,N max,298.7,8,294.6,8,1.4
ELS,P14,cabeza,N min,-53.9,3,-55.8,3,-3.4
ELS,P14,cabeza,|My| max,153.0,3,151.9,3,0.7
ELS,P14,cabeza,|Mx| max,-2.7,6,-0.8,2,
ELS,P15,base,N max,522.1,4,513.8,4,1.6
ELS,P15,base,N min,140.7,7,139.2,7,1.1
ELS,P15,base,|My| max,-180.3,4,-181.2,4,-0.5
ELS,P15,base,|Mx| max,-8.0,8,-1.9,6,322.9
ELS,P15,cabeza,N max,497.8,4,487.5,4,2.1
ELS,P15,cabeza,N min,116.4,7,112.9,7,3.1
ELS,P15,cabeza,|My| max,187.4,4,188.5,4,-0.6
ELS,P15,cabeza,|Mx| max,14.5,8,3.6,6,302.6
ELS,P16,base,N max,312.6,4,311.9,4,0.2
ELS,P16,base,N min,31.6,7,29.7,7,6.4
ELS,P16,base,|My| max,-165.0,4,-166.5,4,-0.9
ELS,P16,base,|Mx| max,19.9,4,14.7,8,35.6
ELS,P16,cabeza,N max,288.3,4,285.7,4,0.9
ELS,P16,cabeza,N min,7.3,7,3.5,7,109.0
ELS,P16,cabeza,|My| max,163.3,4,164.4,4,-0.6
ELS,P16,cabeza,|Mx| max,-35.0,4,-26.7,8,31.2
ELS,P17,base,N max,353.5,8,347.4,8,1.8
ELS,P17,base,N min,-8.0,3,-8.0,3,0.3
ELS,P17,base,|My| max,-157.2,3,-157.5,3,-0.2
ELS,P17,base,|Mx| max,-8.9,4,-3.6,4,146.8
ELS,P17,cabeza,N max,329.2,8,321.1,8,2.5
ELS,P17,cabeza,N min,-32.3,3,-34.3,3,-5.8
ELS,P17,cabeza,|My| max,146.0,3,145.5,3,0.4
ELS,P17,cabeza,|Mx| max,15.1,4,5.9,4,155.3
ELS,P18,base,N max,188.4,8,184.3,8,2.2
ELS,P18,base,N min,-47.7,3,-51.4,3,-7.1
ELS,P18,base,|My| max,-159.3,3,-160.5,3,-0.8
ELS,P18,base,|Mx| max,18.8,8,19.7,4,-4.4
ELS,P18,cabeza,N max,164.1,8,158.0,8,3.9
ELS,P18,cabeza,N min,-72.0,3,-77.7,3,-7.3
ELS,P18,cabeza,|My| max,153.2,3,153.8,3,-0.4
ELS,P18,cabeza,|Mx| max,-34.0,8,-36.2,4,-6.2
