pile,hyp,comp,model,cype,diff
P14,TB1,Qx,-0.22,-0.1,-0.12
P14,TB1,Qy,-48.91,-48.9,-0.01
P14,TB1,T,0.36,0.1,0.26
P14,TB2,N,-5.08,-5.1,0.02
P14,TB2,Mx,-0.0,-0.0,-0.0
P14,TB2,My,1.27,1.3,-0.03
P14,TB2,Qx,0.0,0.0,0.0
P14,TB2,Qy,-0.33,-0.3,-0.03
P14,TB2,T,0.0,0.0,0.0
P14,TB3,N,5.08,5.1,-0.02
P14,TB3,Mx,0.0,0.0,0.0
P14,TB3,My,-1.27,-1.3,0.03
P14,TB3,Qx,-0.0,-0.0,-0.0
P14,TB3,Qy,0.33,0.3,0.03
P14,TB3,T,-0.0,0.0,-0.0
P15,PP,N,88.31,86.0,2.31
P15,PP,Mx,2.58,0.9,1.68
P15,PP,My,6.79,7.0,-0.21
P15,PP,Qx,-0.6,-0.2,-0.4
P15,PP,Qy,-1.58,-1.6,0.02
P15,PP,T,0.0,0.0,0.0
P15,CM,N,27.9,27.5,0.4
P15,CM,Mx,1.04,0.3,0.74
P15,CM,My,2.52,2.7,-0.18
P15,CM,Qx,-0.24,-0.1,-0.14
P15,CM,Qy,-0.59,-0.6,0.01
P15,CM,T,0.0,0.0,0.0
P15,Qa,N,239.11,235.7,3.41
P15,Qa,Mx,8.95,2.3,6.65
P15,Qa,My,21.62,23.4,-1.78
P15,Qa,Qx,-2.07,-0.5,-1.57
P15,Qa,Qy,-5.02,-5.4,0.38
P15,Qa,T,0.0,0.0,0.0
P15,TB1,N,139.22,138.3,0.92
P15,TB1,Mx,-0.61,-0.6,-0.01
P15,TB1,My,155.36,155.4,-0.04
P15,TB1,Qx,0.2,0.2,-0.0
P15,TB1,Qy,-47.49,-47.5,0.01
P15,TB1,T,0.36,0.1,0.26
P15,TB2,N,0.64,0.6,0.04
P15,TB2,Mx,0.01,0.1,-0.09
P15,TB2,My,0.45,0.5,-0.05
P15,TB2,Qx,-0.0,-0.0,-0.0
P15,TB2,Qy,-0.14,-0.1,-0.04
P15,TB2,T,0.0,0.0,0.0
P15,TB3,N,-0.64,-0.6,-0.04
P15,TB3,Mx,-0.01,-0.1,0.09
P15,TB3,My,-0.45,-0.5,0.05
P15,TB3,Qx,0.0,0.0,0.0
P15,TB3,Qy,0.14,0.1,0.04
P15,TB3,T,-0.0,0.0,-0.0
P16,PP,N,53.52,49.0,4.52
P16,PP,Mx,-9.78,-6.3,-3.48
P16,PP,My,3.19,3.4,-0.21
P16,PP,Qx,2.26,1.5,0.76
P16,PP,Qy,-0.75,-0.8,0.05
P16,PP,T,0.0,0.0,0.0
P16,CM,N,12.75,12.6,0.15
P16,CM,Mx,-3.6,-2.0,-1.6
P16,CM,My,0.86,0.9,-0.04
P16,CM,Qx,0.83,0.5,0.33
P16,CM,Qy,-0.2,-0.2,0.0
P16,CM,T,0.0,0.0,0.0
P16,Qa,N,109.3,107.6,1.7
P16,Qa,Mx,-30.83,-17.1,-13.73
P16,Qa,My,7.34,8.1,-0.76
P16,Qa,Qx,7.14,4.0,3.14
P16,Qa,Qy,-1.72,-1.9,0.18
P16,Qa,T,0.0,0.0,0.0
P16,TB1,N,116.03,116.5,-0.47
P16,TB1,Mx,-0.68,7.3,-7.98
P16,TB1,My,152.35,152.0,0.35
P16,TB1,Qx,0.21,-1.6,1.81
P16,TB1,Qy,-46.58,-46.5,-0.08
P16,TB1,T,0.36,0.1,0.26
P16,TB2,N,58.26,58.1,0.16
P16,TB2,Mx,0.15,1.3,-1.15
P16,TB2,My,-2.14,-2.1,-0.04
P16,TB2,Qx,-0.04,-0.3,0.27
P16,TB2,Qy,0.46,0.5,-0.04
P16,TB2,T,0.0,0.0,0.0
P16,TB3,N,-58.26,-58.1,-0.16
P16,TB3,Mx,-0.15,-1.3,1.15
P16,TB3,My,2.14,2.1,0.04
P16,TB3,Qx,0.04,0.3,-0.27
P16,TB3,Qy,-0.46,-0.5,0.04
P16,TB3,T,-0.0,0.0,-0.0
P17,PP,N,81.09,78.9,2.19
P17,PP,Mx,2.51,1.1,1.41
P17,PP,My,-6.92,-7.2,0.28
P17,PP,Qx,-0.58,-0.3,-0.28
P17,PP,Qy,1.59,1.7,-0.1
P17,PP,T,0.0,0.0,0.0
P17,CM,N,25.57,25.3,0.27
P17,CM,Mx,1.02,0.4,0.62
P17,CM,My,-2.56,-2.8,0.24
P17,CM,Qx,-0.23,-0.1,-0.13
P17,CM,Qy,0.59,0.6,-0.01
P17,CM,T,0.0,0.0,0.0
P17,Qa,N,219.19,216.5,2.69
P17,Qa,Mx,8.71,3.0,5.71
P17,Qa,My,-21.94,-23.6,1.66
P17,Qa,Qx,-2.02,-0.7,-1.32
P17,Qa,Qy,5.06,5.5,-0.44
P17,Qa,T,0.0,0.0,0.0
P17,TB1,N,-139.69,-138.5,-1.19
P17,TB1,Mx,0.73,1.4,-0.67
P17,TB1,My,155.56,155.5,0.06
P17,TB1,Qx,-0.23,-0.4,0.17
P17,TB1,Qy,-47.54,-47.5,-0.04
P17,TB1,T,0.36,0.1,0.26
P17,TB2,N,-0.51,-0.4,-0.11
P17,TB2,Mx,0.02,0.0,0.02
P17,TB2,My,0.53,0.5,0.03
P17,TB2,Qx,-0.0,-0.0,-0.0
P17,TB2,Qy,-0.16,-0.2,0.04
P17,TB2,T,0.0,0.0,0.0
P17,TB3,N,0.51,0.4,0.11
P17,TB3,Mx,-0.02,-0.0,-0.02
P17,TB3,My,-0.53,-0.5,-0.03
P17,TB3,Qx,0.0,0.0,0.0
P17,TB3,Qy,0.16,0.2,-0.04
P17,TB3,T,-0.0,0.0,-0.0
P18,PP,N,49.2,44.7,4.5
P18,PP,Mx,-9.74,-7.8,-1.94
P18,PP,My,-3.14,-3.3,0.16
P18,PP,Qx,2.25,1.8,0.45
P18,PP,Qy,0.72,0.8,-0.08
P18,PP,T,0.0,0.0,0.0
P18,CM,N,11.69,11.3,0.39
P18,CM,Mx,-3.58,-2.3,-1.28
P18,CM,My,-0.84,-0.9,0.06
P18,CM,Qx,0.83,0.5,0.33
P18,CM,Qy,0.19,0.2,-0.01
P18,CM,T,0.0,0.0,0.0
P18,Qa,N,100.21,96.7,3.51
P18,Qa,Mx,-30.68,-20.1,-10.58
P18,Qa,My,-7.19,-8.0,0.81
P18,Qa,Qx,7.1,4.7,2.4
P18,Qa,Qy,1.65,1.8,-0.15
P18,Qa,T,0.0,0.0,0.0
P18,TB1,N,-132.91,-133.7,0.79
P18,TB1,Mx,0.7,-6.0,6.7
P18,TB1,My,158.31,158.0,0.31
P18,TB1,Qx,-0.22,1.3,-1.52
P18,TB1,Qy,-47.96,-47.9,-0.06
P18,TB1,T,0.36,0.1,0.26
P18,TB2,N,-5.34,-5.3,-0.04
P18,TB2,Mx,0.08,-0.3,0.38
P18,TB2,My,1.02,1.0,0.02
P18,TB2,Qx,-0.02,0.1,-0.12
P18,TB2,Qy,-0.27,-0.3,0.03
P18,TB2,T,0.0,0.0,0.0
P18,TB3,N,5.34,5.3,0.04
P18,TB3,Mx,-0.08,0.3,-0.38
P18,TB3,My,-1.02,-1.0,-0.02
P18,TB3,Qx,0.02,-0.1,0.12
P18,TB3,Qy,0.27,0.3,-0.03
P18,TB3,T,-0.0,0.0,-0.0
